,0
Age,26.696139476961395
Number of sexual partners,2.511830635118306
First sexual intercourse,16.990037359900374
Num of pregnancies,2.2428393524283936
Smokes,0.14072229140722292
Smokes (years),1.136236140381071
Smokes (packs/year),0.4321213401879203
Hormonal Contraceptives,0.688667496886675
Hormonal Contraceptives (years),1.9474774608244085
IUD,0.0921544209215442
IUD (years),0.42648816936488165
STDs,0.08343711083437111
STDs (number),0.14072229140722292
STDs:condylomatosis,0.0460772104607721
STDs:cervical condylomatosis,0.0
STDs:vaginal condylomatosis,0.0049813200498132005
STDs:vulvo-perineal condylomatosis,0.0448318804483188
STDs:syphilis,0.0224159402241594
STDs:pelvic inflammatory disease,0.0012453300124533001
STDs:genital herpes,0.0
STDs:molluscum contagiosum,0.0012453300124533001
STDs:AIDS,0.0
STDs:HIV,0.0161892901618929
STDs:Hepatitis B,0.0012453300124533001
STDs:HPV,0.0024906600249066002
STDs: Number of diagnosis,0.07970112079701121
STDs: Time since first diagnosis,4.173100871731009
STDs: Time since last diagnosis,3.219178082191781
Dx:Cancer,0.014943960149439602
Dx:CIN,0.007471980074719801
Dx:HPV,0.014943960149439602
Dx,0.021170610211706103
Hinselmann,0.012453300124533
Schiller,0.0323785803237858
Citology,0.0323785803237858
Biopsy,0.0
